選舉區,號次,姓名,性別,出生年月日,年齡,推薦之政黨,學歷,是否現任,英文姓名,出生地
臺北市第8選舉區,2,高李茂俊,男,046/09/30,57,親民黨,專科,否,KAO LEE MAO CHUN,臺灣省
臺北市第8選舉區,3,李傅中武,男,062/04/04,41,中國國民黨,碩士,是,LEE FU CHUNG WU,臺灣省
新北市第1選舉區,1,鄭戴麗香,女,043/08/22,60,中國國民黨,其他,是,Cheng Tai Li Hsiang,高雄市
新北市第1選舉區,2,王鐘銘,男,067/12/08,35,綠黨,大學,否,Wang Chung Ming,新北市
新北市第1選舉區,3,鄭宇恩,女,075/04/07,28,民主進步黨,碩士,否,Cheng Yu En,臺北市
新北市第1選舉區,4,蔡錦賢,男,038/01/24,65,無,其他,是,Tsai Ching Hsien,新北市
新北市第1選舉區,5,蔡葉偉,男,043/01/24,60,中國國民黨,博士,否,Tsai Yeh Wei,新北市
新北市第1選舉區,6,呂子昌,男,047/09/25,56,民主進步黨,大學,是,Lu Tzu Chang,新北市
新北市第2選舉區,1,蔡健棠,男,052/01/19,51,中國國民黨,碩士,否,Tsai Chien Tang,臺灣省
新北市第2選舉區,2,宋明宗,男,056/04/02,47,中國國民黨,高中,是,Sung Ming Tzung,高雄市
新北市第2選舉區,3,陳明義,男,056/09/18,47,中國國民黨,碩士,是,Chen Ming I,臺灣省
新北市第2選舉區,4,何淑峯,女,056/10/31,47,民主進步黨,碩士,是,,臺灣省
新北市第2選舉區,5,賴秋媚,女,052/07/29,51,民主進步黨,高中,是,Lai Chiu Mei,臺灣省
新北市第2選舉區,6,董吉誠,男,049/11/03,54,無,碩士,否,Tung Chi Cheng,高雄市
新北市第2選舉區,7,鍾宏仁,男,046/09/25,57,民主進步黨,博士,否,Chung Hung Jen,臺灣省
新北市第2選舉區,8,張晉婷,女,058/07/19,45,台灣團結聯盟,高中,是,Chang Chin Ting,臺北市
新北市第2選舉區,9,黃林玲玲,女,031/09/19,72,中國國民黨,大學,是,Huang Lin Ling Ling,新北市
新北市第2選舉區,10,蔣根煌,男,052/05/01,51,中國國民黨,高中,是,Chiang Ken Huang,新北市
新北市第2選舉區,11,陳文治,男,056/06/13,47,民主進步黨,大學,是,Chen Wen Chih,臺灣省
新北市第2選舉區,12,陳科名,男,059/05/09,44,民主進步黨,大學,是,Chen Ko Ming,新北市
新北市第2選舉區,13,蔡淑君,女,059/03/05,44,中國國民黨,專科,是,Tsai Shu Chun,新北市
新北市第3選舉區,1,李倩萍,女,059/08/12,44,民主進步黨,碩士,是,,新北市
新北市第3選舉區,2,蕭榮騰,男,057/07/01,46,人民最大黨,其他,否,,臺灣省
新北市第3選舉區,3,鄭金隆,男,044/04/05,59,民主進步黨,高中,是,Cheng Chin Lung,新北市
新北市第3選舉區,4,王詠沛,女,053/04/12,50,親民黨,大學,否,Wang Yong Pei,高雄市
新北市第3選舉區,5,黃桂蘭,女,046/02/25,57,中國國民黨,碩士,是,Huang Kuei Lan,臺灣省
新北市第3選舉區,6,張宸浩,男,069/09/20,34,新黨,碩士,否,Chang Chen Hao,高雄市
新北市第3選舉區,7,董俊良,男,059/07/30,44,無,高中,否,Tung Chun Liang,新北市
新北市第3選舉區,8,胡淑蓉,女,049/10/08,54,中國國民黨,高中,是,Hu Shu Jung,臺灣省
新北市第3選舉區,9,蔡明堂,男,047/04/27,56,中國國民黨,大學,否,Tsai Ming Tang,新北市
新北市第3選舉區,10,李翁月娥,女,047/01/05,56,無,大學,是,Li Weng Yueh E,新北市
新北市第3選舉區,11,李丹鳳,女,067/05/25,36,人民民主陣線,碩士,否,Lee Dan Feng,臺灣省
新北市第3選舉區,12,鄭世維,男,055/05/05,48,中國國民黨,高中,否,Cheng Shih Wei,臺北市
新北市第3選舉區,13,陳幸進,男,032/09/26,71,中國國民黨,其他,是,Chen Hsing Chin,新北市
新北市第3選舉區,14,蘇卿彥,男,028/03/13,75,無,博士,否,Su Ching Yin,新北市
新北市第3選舉區,15,李坤城,男,062/05/03,41,民主進步黨,大學,是,Lee Kuen Cheng,新北市
新北市第3選舉區,16,李余典,男,047/01/27,56,民主進步黨,大學,是,Lee Yu Dien,新北市
新北市第3選舉區,17,邱婷蔚,女,069/10/11,34,民主進步黨,大學,否,Chiu Ting Wei,新北市
新北市第3選舉區,18,陳啟能,男,048/07/05,55,民主進步黨,專科,是,Chen Chi Jeng,新北市
新北市第3選舉區,19,陳良安,男,059/01/02,44,台灣團結聯盟,專科,否,,新北市
新北市第4選舉區,1,曾煥嘉,男,065/09/10,38,中國國民黨,大學,是,Tseng Huan Chia,臺北市
新北市第4選舉區,2,周勝考,男,045/03/14,58,中國國民黨,碩士,是,Chou Shen Kao,臺灣省
新北市第4選舉區,3,廖裕德,男,040/09/14,63,無,專科,是,,新北市
新北市第4選舉區,4,顏德民,男,065/04/03,38,無,碩士,否,,新北市
新北市第4選舉區,5,王淑慧,女,044/12/02,58,民主進步黨,碩士,是,Wang Shu Hui,臺北市
新北市第4選舉區,6,黃俊哲,男,067/04/27,36,民主進步黨,碩士,是,Huang Chun Chemr,臺灣省
新北市第4選舉區,7,林水山,男,045/08/01,58,民主進步黨,其他,是,,臺灣省
新北市第4選舉區,8,何博文,男,062/06/27,41,民主進步黨,碩士,否,Ho Po Wen,臺中市
新北市第4選舉區,9,林世棟,男,046/11/01,57,親民黨,碩士,否,Lin Stone,新北市
新北市第4選舉區,10,林國春,男,057/01/08,46,中國國民黨,碩士,是,Lin Kuochun,金馬地區
新北市第4選舉區,11,劉美芳,女,067/12/07,35,中國國民黨,大學,是,Liu Mei Feng,臺北市
新北市第4選舉區,12,王炳忠,男,076/08/31,27,新黨,碩士,否,Wang Ping Chung,臺北市
新北市第4選舉區,13,張宏陸,男,061/01/10,42,民主進步黨,碩士,是,Chang Hung Lu,臺中市
新北市第4選舉區,14,李婉鈺,女,061/03/27,42,無,碩士,是,Lee Wan Yu,新北市
新北市第4選舉區,15,趙燕昭,男,045/09/29,58,中國國民黨,高中,否,Chao Yen Chao,臺灣省
新北市第4選舉區,16,蕭貫譽,男,045/04/18,58,台灣團結聯盟,高中,否,Shiao Kuan Yu,臺灣省
新北市第5選舉區,1,陳錦錠,女,043/11/28,60,中國國民黨,大學,是,Chen Jin Ding,臺北市
新北市第5選舉區,2,江永昌,男,058/10/22,45,民主進步黨,碩士,是,Chiang Yung Chang,新北市
新北市第5選舉區,3,林朝鑫,男,049/07/12,54,無,碩士,否,,新北市
新北市第5選舉區,4,戴德成,男,051/04/14,52,新黨,大學,否,Tai Te Cheng,金馬地區
新北市第5選舉區,5,游輝宂,男,072/02/26,31,無,大學,否,Yu Hui Lung,新北市
新北市第5選舉區,6,林秀惠,女,044/06/09,59,民主進步黨,碩士,是,Lin Hsiu Hui,臺灣省
新北市第5選舉區,7,張瑞山,男,044/11/18,59,民主進步黨,高中,是,Chang Jui Shan,臺灣省
新北市第5選舉區,8,金瑞龍,男,058/07/15,45,中國國民黨,專科,是,,臺灣省
新北市第5選舉區,9,邱烽堯,男,062/10/03,41,中國國民黨,碩士,是,Chiu Feng Yao,新北市
新北市第6選舉區,1,羅文崇,男,053/07/08,50,民主進步黨,大學,否,Lo Wen Chung,臺北市
新北市第6選舉區,2,陳鴻源,男,056/04/21,47,中國國民黨,專科,是,Chen Hung Yuan,臺灣省
新北市第6選舉區,3,許昭興,女,060/03/06,43,民主進步黨,碩士,是,,新北市
新北市第6選舉區,4,蔡明璋,男,054/04/09,49,新黨,大學,否,Tsai Ming Chang,新北市
新北市第6選舉區,5,金介壽,男,040/10/31,63,中國國民黨,大學,是,Ching Chia Shou,臺中市
新北市第6選舉區,6,連斐璠,女,048/09/09,55,中國國民黨,碩士,是,Lien Fei Fan,新北市
新北市第6選舉區,7,莊育麟,男,063/11/05,40,人民民主陣線,碩士,否,Chuang Yu Lin,臺灣省
新北市第7選舉區,1,王明麗,女,041/04/15,62,中國國民黨,專科,是,Wang Ming Li,新北市
新北市第7選舉區,2,林銘仁,男,049/03/09,54,民主進步黨,碩士,是,Lin Ming Jen,新北市
新北市第7選舉區,3,林明正,男,067/12/02,35,新黨,碩士,否,Lin Ming Zheng,臺北市
新北市第7選舉區,4,吳琪銘,男,052/02/24,51,民主進步黨,大學,是,Wu Chi Ming,臺灣省
新北市第7選舉區,5,林金結,男,057/07/21,46,中國國民黨,碩士,否,Lin Chin Chieh,臺灣省
新北市第7選舉區,6,彭成龍,男,045/09/01,58,民主進步黨,專科,是,Peng Chen Long,新北市
新北市第7選舉區,7,李宜潔,女,059/08/08,44,台灣團結聯盟,其他,否,,金馬地區
新北市第7選舉區,8,陳世榮,男,046/03/10,57,無,大學,是,Chen Shyh Rong,新北市
新北市第7選舉區,9,朱子孟,男,051/08/19,52,中國國民黨,博士,否,Chu Tzu Meng,新北市
新北市第7選舉區,10,羅友志,男,061/09/17,42,無,大學,否,Lo Yu Chih,新北市
新北市第7選舉區,11,黃永昌,男,051/12/06,51,中國國民黨,專科,是,Huang Yong Cheong,新北市
新北市第7選舉區,12,廖本煙,男,045/09/26,58,民主進步黨,碩士,否,Liao Pen Yen,臺灣省
新北市第7選舉區,13,歐金獅,男,041/05/01,62,民主進步黨,專科,是,Ou Chin Shih,臺灣省
新北市第7選舉區,14,薛永華,男,061/12/17,41,親民黨,碩士,否,Hsueh Yung Hua,臺北市
新北市第7選舉區,15,臧家宜,女,063/04/23,40,無,碩士,否,,臺灣省
新北市第7選舉區,16,楊木萬,男,044/01/06,59,綠黨,其他,否,,新北市
新北市第7選舉區,17,洪佳君,女,066/06/28,37,中國國民黨,碩士,是,Hung Chia Chun,新北市
新北市第7選舉區,18,朱彥華,男,057/07/25,46,無,博士,否,Chu Yen Hua,臺北市
新北市第7選舉區,19,林富子,女,058/08/28,45,中國國民黨,碩士,否,Lin Fu Tzu,臺灣省
新北市第7選舉區,20,高敏慧,女,055/02/17,48,民主進步黨,大學,是,Kao Min Hui,新北市
新北市第7選舉區,21,蘇有仁,男,038/09/12,65,無,高中,否,Su Yu Jen,新北市
新北市第8選舉區,1,王美月,女,043/11/20,60,中國國民黨,碩士,否,Wang Mei Yueh,新北市
新北市第8選舉區,2,劉哲彰,男,061/07/07,42,中國國民黨,博士,是,Liu Che Chang,新北市
新北市第8選舉區,3,金中玉,男,045/03/14,58,無,專科,是,Chin Chung Yu,臺北市
新北市第8選舉區,4,陳永福,男,047/10/01,56,民主進步黨,大學,是,Chen Yung Fu,新北市
新北市第8選舉區,5,廖筱清,女,045/10/10,58,民主進步黨,碩士,否,Liao Hsiao Ching,臺灣省
新北市第8選舉區,6,邱九桁,男,054/08/28,49,親民黨,其他,否,Chiu Chiu Heng,臺中市
新北市第8選舉區,7,何孟哲,男,073/03/21,30,新黨,碩士,否,Ho Meng Je,臺北市
新北市第8選舉區,8,陳儀君,女,062/07/02,41,中國國民黨,碩士,是,Chen Yi Chun,新北市
新北市第9選舉區,1,謝簡,男,053/12/01,49,中華民主向日葵憲政改革聯盟,專科,否,Hsieh Chien,新北市
新北市第9選舉區,2,高天助,男,052/01/26,51,無,專科,否,Kao Tien Chu,新北市
新北市第9選舉區,3,林讚枝,男,040/02/23,63,中國國民黨,碩士,否,,新北市
新北市第9選舉區,4,林裔綺,女,057/04/26,46,民主進步黨,專科,否,Lin I Chi,臺灣省
新北市第9選舉區,5,吳清風,男,069/08/10,34,無,碩士,否,Wu Ching Feng,新北市
新北市第9選舉區,6,廖秀雄,男,033/02/15,70,無,其他,是,,新北市
新北市第10選舉區,1,周雅玲,女,057/06/25,46,民主進步黨,專科,是,Chou Ya Ling,新北市
新北市第10選舉區,2,李玉蘭,女,061/09/15,42,無,高中,否,,新北市
新北市第10選舉區,3,黃瑞傳,男,039/04/07,64,無,高中,否,Huang Jui Chuan,臺灣省
新北市第10選舉區,4,廖正良,男,043/12/25,59,中國國民黨,高中,否,Liao Zheng Liang,新北市
新北市第10選舉區,5,白珮茹,女,064/05/17,39,中國國民黨,碩士,是,Pai Pei Ju,臺北市
新北市第10選舉區,6,沈發惠,男,055/11/02,48,民主進步黨,碩士,是,Shen Fa Hui,臺北市
新北市第11選舉區,1,宋雨蓁,女,070/07/17,33,中國國民黨,大學,否,Sung Yu Chen,新北市
新北市第11選舉區,2,"夷將･拔路兒 Icyang･Parod",男,049/12/02,53,民主進步黨,大學,是,Parod Icyang,臺灣省
新北市第11選舉區,3,楊春妹,女,050/02/19,53,中國國民黨,專科,是,Yang Chun Mei,臺灣省
新北市第11選舉區,4,張天明,男,047/03/06,56,無,專科,否,,臺灣省
新北市第11選舉區,5,陳家梅,女,052/10/20,51,中國國民黨,高中,否,,臺灣省
新北市第11選舉區,6,忠仁•達祿斯,男,050/01/27,53,中國國民黨,碩士,是,Chung Jen Da Lu Sih,臺灣省
新北市第12選舉區,1,"寶杜巴燕 Bawtu･Payen",男,064/11/02,39,民主進步黨,專科,否,Bawtu Payen,臺灣省
新北市第12選舉區,2,王建章,男,047/03/28,56,中國國民黨,專科,是,Wang Chien Chang,新北市
新北市第12選舉區,3,陳勝榮,男,045/03/12,58,親民黨,碩士,否,Chen Shen Zung,新北市
桃園市第1選舉區,1,萬美玲,女,058/09/25,45,中國國民黨,大學,是,WAN MEI LING,臺北市
桃園市第1選舉區,2,范綱祥,男,055/04/17,48,民主進步黨,碩士,否,FAN KANG HSIANG,臺灣省
桃園市第1選舉區,3,林國政,男,055/04/27,48,親民黨,碩士,否,LIN KUO CHENG,臺中市
桃園市第1選舉區,4,陳宗義,男,048/10/02,55,民主進步黨,大學,是,Chen Chong Yi,臺北市
桃園市第1選舉區,5,黃婉如,女,043/10/05,60,中國國民黨,碩士,是,Huang Woun Ju,臺灣省
桃園市第1選舉區,6,王信涵,男,066/03/07,37,無,碩士,否,WANG HSIN HAN,高雄市
桃園市第1選舉區,7,簡梓倡,男,055/08/10,48,無,專科,否,CHIEN TZU CHANG,臺灣省
桃園市第1選舉區,8,張勝豐,男,054/04/29,49,新黨,大學,否,CHANG SHENG FENG,臺灣省
桃園市第1選舉區,9,黃莅程,男,067/05/17,36,無,高中,否,HUANG LI CHENG,臺灣省
桃園市第1選舉區,10,黃景熙,男,048/05/15,55,民主進步黨,專科,是,,臺灣省
桃園市第1選舉區,11,黃智銘,男,042/08/20,61,民主進步黨,專科,是,Huang Chih Ming,臺灣省
桃園市第1選舉區,12,李曉鐘,男,048/05/29,55,中國國民黨,大學,是,LI HSIAO CHUNG,臺灣省
桃園市第1選舉區,13,蘇家明,男,043/12/12,59,中國國民黨,碩士,否,SU JIA MING,臺灣省
桃園市第1選舉區,14,賀光卍,男,064/02/12,39,人民民主陣線,專科,否,,新北市
桃園市第1選舉區,15,陳美梅,女,063/06/04,40,中國國民黨,碩士,是,Chen Mei Mei,臺灣省
桃園市第1選舉區,16,洪文璋,男,055/10/31,48,無,碩士,否,Hung Wen Chang,臺灣省
桃園市第1選舉區,17,楊添丁,男,045/06/08,58,無,高中,否,,臺灣省
桃園市第1選舉區,18,詹江村,男,052/08/16,51,中國國民黨,碩士,是,JAN JIANG TSUN,新北市
桃園市第1選舉區,19,林政賢,男,048/06/28,55,中國國民黨,大學,是,LIN CHENG HSIEN,臺灣省
桃園市第1選舉區,20,李光達,男,055/10/01,48,台灣團結聯盟,大學,否,LEE KUANG TA,臺灣省
桃園市第1選舉區,21,廖輝星,男,043/08/01,60,民主進步黨,碩士,是,LIAO HUI HSIN,臺灣省
桃園市第1選舉區,22,黃哲鍾,男,038/08/14,65,無黨團結聯盟,專科,是,HWANG JER JONG,臺灣省
桃園市第1選舉區,23,羅岳峰,男,075/10/29,28,綠黨,大學,否,LO YUEH FENG,新北市
桃園市第1選舉區,24,史碩仁,男,050/07/28,53,無,高中,否,SHIH SHUO JEN,臺北市
桃園市第1選舉區,25,邱素芬,女,055/08/30,48,民主進步黨,碩士,是,CHIU SU FEN,臺灣省
