選舉區,號次,姓名,性別,出生年月日,年齡,推薦之政黨,學歷,是否現任,英文姓名,出生地
臺北市第1選舉區,1,謝維洲,男,072/05/05,31,民主進步黨,大學,否,HSIEH WEI CHOU,新北市
臺北市第1選舉區,2,賴素如,女,053/03/23,50,無,博士,是,Lai Su Ru,臺北市
臺北市第1選舉區,3,孫士堅,男,048/10/06,55,無,專科,否,Sune Shih Jian,臺北市
臺北市第1選舉區,4,潘懷宗,男,050/07/02,53,新黨,博士,是,Pan Hwai Tzong Wynn,臺北市
臺北市第1選舉區,5,林瑞圖,男,045/06/10,58,無,大學,是,LIN RUEY TOU,臺北市
臺北市第1選舉區,6,周佳君,女,056/07/28,47,人民民主陣線,碩士,否,CHOU Chia Chun,臺中市
臺北市第1選舉區,7,王奕凱,男,074/06/29,29,無,高中,否,Wang Yi Kai,臺北市
臺北市第1選舉區,8,王英文,男,060/10/02,43,無,博士,否,WANG YING WEN,臺灣省
臺北市第1選舉區,9,陳重文,男,066/09/24,37,中國國民黨,大學,否,chen chung wen,臺北市
臺北市第1選舉區,10,黃平洋,男,051/11/13,52,中國國民黨,大學,是,HUANG PING YANG,新北市
臺北市第1選舉區,11,王小玉,女,041/11/24,62,親民黨,其他,否,Wang Hsiao Yu,臺灣省
臺北市第1選舉區,12,楊靜宇,男,050/10/02,53,新黨,大學,否,YANG CHING YU,臺北市
臺北市第1選舉區,13,汪志冰,女,046/04/20,57,中國國民黨,碩士,是,WANG CHIH PING,臺中市
臺北市第1選舉區,14,林世宗,男,048/06/13,55,民主進步黨,博士,是,LIN SHIHTSUNG,臺北市
臺北市第1選舉區,15,王威中,男,072/03/03,31,民主進步黨,碩士,否,Wang Wei Chung,臺北市
臺北市第1選舉區,16,吳思瑤,女,063/05/28,40,民主進步黨,碩士,是,Wu Szu Yao,新北市
臺北市第1選舉區,17,陳建銘,男,050/07/24,53,台灣團結聯盟,博士,是,Chen Chien Ming,臺北市
臺北市第1選舉區,18,何志偉,男,071/05/14,32,民主進步黨,碩士,是,Ho Chin Wei,其他省市
臺北市第1選舉區,19,陳政忠,男,044/04/01,59,無,碩士,是,Chen Cheng Chung,臺北市
臺北市第1選舉區,20,陳慈慧,女,072/11/22,31,民主進步黨,大學,否,CHEN TZU HUI,臺北市
臺北市第1選舉區,21,吳碧珠,女,038/12/22,64,中國國民黨,大學,是,WU BI CHU,臺北市
臺北市第2選舉區,1,許明偉,男,043/02/25,60,無,大學,否,Hsu Ming Wei,臺北市
臺北市第2選舉區,2,陳義洲,男,041/09/01,62,中國國民黨,碩士,是,,臺北市
臺北市第2選舉區,3,趙家蓉,女,051/11/11,52,新黨,大學,否,Chao Chia Jung,臺北市
臺北市第2選舉區,4,黃子哲,男,063/08/09,40,中國國民黨,碩士,否,Huang Tzu che,臺北市
臺北市第2選舉區,5,黃珊珊,女,058/10/18,45,親民黨,大學,是,Huang shan shan,臺中市
臺北市第2選舉區,6,王孝維,男,050/06/10,53,民主進步黨,大學,是,WANG HSIAO WEI,新北市
臺北市第2選舉區,7,李彥秀,女,060/12/18,42,中國國民黨,大學,是,Lee Yen Hsiu,臺北市
臺北市第2選舉區,8,陳嘉霖,男,067/09/12,36,台灣團結聯盟,碩士,否,Chen Chia Lin,臺灣省
臺北市第2選舉區,9,余筱菁,女,069/12/02,33,樹黨,碩士,否,Yu Hsiao ching,臺灣省
臺北市第2選舉區,10,闕枚莎,女,061/04/05,42,中國國民黨,碩士,是,CHIEH MEI SHA,臺北市
臺北市第2選舉區,11,江志銘,男,051/08/10,52,民主進步黨,大學,是,Chuang Chi ming,臺北市
臺北市第2選舉區,12,吳世正,男,052/04/11,51,中國國民黨,碩士,是,Wu Shih Cheng,臺灣省
臺北市第2選舉區,13,李建昌,男,051/08/22,52,民主進步黨,碩士,是,LEE CHIEN CHANG,臺灣省
臺北市第2選舉區,14,高嘉瑜,女,069/10/17,34,民主進步黨,碩士,是,Kao Chia yu,臺灣省
臺北市第3選舉區,1,陳永德,男,054/08/14,49,中國國民黨,大學,是,Chen Yung Te,臺北市
臺北市第3選舉區,2,秦慧珠,女,044/03/27,59,中國國民黨,博士,是,Chin Huei Chu,臺灣省
臺北市第3選舉區,3,楊世光,男,065/10/24,38,新黨,專科,否,Yang Shih Kuang,新北市
臺北市第3選舉區,4,許家蓓,女,066/04/15,37,民主進步黨,大學,否,Hsu jia bei,臺北市
臺北市第3選舉區,5,王博玉,男,057/09/21,46,無,碩士,否,WANG Po yu,臺北市
臺北市第3選舉區,6,戴錫欽,男,055/10/28,48,中國國民黨,碩士,是,Tai Hsi chin,臺北市
臺北市第3選舉區,7,陳孋輝,女,051/11/30,51,中國國民黨,碩士,是,CHEN LI HUI,臺灣省
臺北市第3選舉區,8,洪士奇,男,051/07/29,52,親民黨,大學,否,Hong Shih Chi,高雄市
臺北市第3選舉區,9,潘翰疆,男,056/09/02,47,樹黨,大學,否,Pan Han Chiang,臺南市
臺北市第3選舉區,10,許淑華,女,062/05/22,41,民主進步黨,碩士,是,HSU SHU HUA,臺灣省
臺北市第3選舉區,11,李卓翰,男,058/12/13,44,台灣團結聯盟,碩士,否,Lee Chou han,臺北市
臺北市第3選舉區,12,王鴻薇,女,053/07/10,50,中國國民黨,大學,是,Wang Hung wei,臺灣省
臺北市第3選舉區,13,洪健益,男,059/11/03,44,民主進步黨,碩士,是,HUNG CHIEN YI,臺北市
臺北市第3選舉區,14,楊實秋,男,047/09/24,56,中國國民黨,碩士,是,YANG SHIH CHIU,臺北市
臺北市第3選舉區,15,張茂楠,男,049/08/15,54,民主進步黨,大學,是,CHANG MAO NAN,臺灣省
臺北市第3選舉區,16,徐世勲,男,065/01/30,38,無,碩士,否,SHYU SHYH SHIUN,臺灣省
臺北市第3選舉區,17,王正德,男,045/02/07,58,中國國民黨,大學,是,WANG CHENG TER,臺北市
臺北市第4選舉區,1,陳炳甫,男,060/04/01,43,中國國民黨,碩士,否,CHEN BIN FU,臺北市
臺北市第4選舉區,2,鍾君竺,女,066/05/27,37,人民民主陣線,大學,否,Chung Chun Chu,臺灣省
臺北市第4選舉區,3,黃向羣,男,059/04/17,44,民主進步黨,碩士,否,HUANG HSIANG CHUN,臺北市
臺北市第4選舉區,4,林婕麗,女,055/05/15,48,新黨,高中,否,LIN JIE LI,新北市
臺北市第4選舉區,5,梁文傑,男,060/11/26,43,民主進步黨,碩士,是,LIANG WEN CHIEN,新北市
臺北市第4選舉區,6,顏若芳,女,074/10/27,29,民主進步黨,大學,否,YEN JUO FANG,臺北市
臺北市第4選舉區,7,葉林傳,男,058/07/16,45,中國國民黨,專科,是,YEH LUN CHUANG,臺北市
臺北市第4選舉區,8,王世堅,男,049/01/01,54,民主進步黨,碩士,是,Wang shih Chien,臺北市
臺北市第4選舉區,9,林國成,男,046/08/20,57,親民黨,碩士,是,,臺灣省
臺北市第4選舉區,10,王麗珠,女,046/04/21,57,中國國民黨,大學,否,WANG Li chu,臺灣省
臺北市第4選舉區,11,簡聖哲,男,071/10/09,32,台灣團結聯盟,大學,否,JIAN SHENG JHE,新北市
臺北市第4選舉區,12,鄭惠齡,女,075/07/24,28,樹黨,大學,否,Cheng Hui Ling,臺北市
臺北市第4選舉區,13,林亭君,女,073/11/17,30,中國國民黨,大學,否,,新北市
臺北市第4選舉區,14,楊鎮雄,男,039/11/30,63,無,大學,否,YANG JOSEPH,高雄市
臺北市第5選舉區,1,徐立信,男,064/04/03,39,無,碩士,否,,臺中市
臺北市第5選舉區,2,黄文章,男,042/07/23,61,華聲黨,大學,否,HUANG WEN CHANG,高雄市
臺北市第5選舉區,3,康明道,男,060/10/31,43,無,大學,否,KANG MING DANG,臺北市
臺北市第5選舉區,4,吳志剛,男,060/09/09,43,中國國民黨,碩士,是,Wu Chih Kang,臺灣省
臺北市第5選舉區,5,謝建平,男,054/02/27,49,台灣團結聯盟,專科,否,HSIEH CHIEN PING,臺南市
臺北市第5選舉區,6,童仲彥,男,062/07/08,41,民主進步黨,碩士,是,Tung Chung Yen,臺灣省
臺北市第5選舉區,7,周威佑,男,051/09/15,52,民主進步黨,大學,是,CHOU WEI YU,臺灣省
臺北市第5選舉區,8,劉耀仁,男,057/10/16,46,民主進步黨,大學,是,Liu Yao Jen,高雄市
臺北市第5選舉區,9,應曉薇,女,053/09/14,50,中國國民黨,碩士,是,Ying Angela,臺灣省
臺北市第5選舉區,10,林佳諭,女,076/05/22,27,樹黨,碩士,否,Lin Chia Yu,臺北市
臺北市第5選舉區,11,郭昭巖,女,058/02/08,45,中國國民黨,碩士,是,KUO CHAO YEN,臺北市
臺北市第5選舉區,12,鍾小平,男,051/08/27,52,中國國民黨,碩士,是,Chung Hsiao Ping,新北市
臺北市第5選舉區,13,顏聖冠,女,057/06/20,46,民主進步黨,碩士,是,YEN SHENG KUAN,臺北市
臺北市第5選舉區,14,陳蓋武,男,063/04/19,40,親民黨,碩士,否,Chen Kai Wu,臺灣省
臺北市第5選舉區,15,張榮法,男,061/07/25,42,新黨,大學,否,Chang Jung Fa,臺南市
臺北市第6選舉區,1,陳彥伯,男,058/08/21,45,新黨,碩士,是,CHEN YEN BO,臺北市
臺北市第6選舉區,2,孫仲康,男,053/10/19,50,無,碩士,否,SUN CHUNG KANG,臺北市
臺北市第6選舉區,3,厲耿桂芳,女,035/01/27,68,中國國民黨,碩士,是,Li Keng Kuei fong,其他省市
臺北市第6選舉區,4,王欣儀,女,059/06/24,44,中國國民黨,碩士,是,WANG HSIN I,臺北市
臺北市第6選舉區,5,陳錦祥,男,048/07/07,55,中國國民黨,高中,是,Chen Chin Hsiang,臺北市
臺北市第6選舉區,6,丁增義,男,048/10/02,55,無,碩士,否,TING TSENG YI,臺灣省
臺北市第6選舉區,7,潘翰聲,男,059/07/11,44,樹黨,碩士,否,PAN HAN SHEN,臺南市
臺北市第6選舉區,8,歐陽龍,男,049/11/12,54,中國國民黨,高中,是,Ou Yang Long,臺北市
臺北市第6選舉區,9,王閔生,男,064/09/15,39,民主進步黨,大學,否,Wang Min Sheng,臺北市
臺北市第6選舉區,10,青天,男,044/10/10,59,無,大學,否,CHIN TEN,臺灣省
臺北市第6選舉區,11,何啟聖,男,053/02/04,50,親民黨,碩士,否,HO CHI SHENG,臺中市
臺北市第6選舉區,12,王致雅,女,060/12/25,42,中國國民黨,碩士,否,Wang Chih Ya,臺灣省
臺北市第6選舉區,13,徐弘庭,男,071/06/21,32,中國國民黨,大學,否,HSU HUNG TING,臺北市
臺北市第6選舉區,14,聶紹雄,男,035/09/23,68,無,碩士,否,Nieh Shao Hsiung,其他省市
臺北市第6選舉區,15,周柏雅,男,048/03/08,55,民主進步黨,碩士,是,Chou Po Ya,臺灣省
臺北市第6選舉區,16,李慶鋒,男,056/05/18,47,民主進步黨,碩士,是,LEE CHING FENG,臺中市
臺北市第6選舉區,17,阮昭雄,男,059/09/29,44,民主進步黨,碩士,是,Juan Chao Hsiung,臺灣省
臺北市第6選舉區,18,李新,男,042/07/16,61,中國國民黨,碩士,是,LEE HSIN,新北市
臺北市第6選舉區,19,謝啟大,女,038/02/10,65,無,碩士,否,HSIEH CHI TA,其他省市
臺北市第6選舉區,20,歐陽瑞蓮,女,065/02/26,38,台灣團結聯盟,碩士,否,OU YANG JUI LIEN,臺北市
臺北市第6選舉區,21,簡舒培,女,066/06/27,37,民主進步黨,大學,否,Chien Shu Pei,新北市
臺北市第6選舉區,22,李慶元,男,047/08/29,56,中國國民黨,碩士,是,CHING YUAN LEE,高雄市
臺北市第7選舉區,1,馬耀．谷木,男,046/08/25,57,民主進步黨,其他,否,Mayaw Kumu,臺灣省
臺北市第7選舉區,2,李芳儒,男,058/12/06,44,中國國民黨,碩士,是,LEE FANG RU,臺灣省
臺北市第8選舉區,1,"伊凡諾幹 Iban Nokan",男,049/01/22,54,民主進步黨,大學,否,Iban Nokan,臺灣省
